id,run,version,trial,condition,Stress_duration,total_con_stress_dur,total_noc_stress_dur,rt,Target,First_correct,Feedback,Button_pressed,initial_aversiveness
2,1,5,11,con,6.3346936326,76.02,76.29,834.604901,3,TRUE,Positive,[3],65
2,1,5,12,con,6.1837245894,76.02,76.29,683.6705953,1,TRUE,Positive,[1],65
2,1,5,13,noc,7.94760117,76.02,76.29,947.5811583,1,FALSE,Negative,[1],65
2,1,5,14,noc,4.9980592325,76.02,76.29,997.9863595,2,TRUE,Positive,[2],65
2,1,5,15,noc,5.0012460179,76.02,76.29,NA,3,TRUE,Positive,[],65
2,1,5,16,bas,5.0167861271,76.02,76.29,1016.7472363,3,TRUE,Positive,[3],65
2,1,5,17,con,6.1856910321,76.02,76.29,685.5811561,1,TRUE,Positive,[1],65
2,1,5,18,con,6.2851904726,76.02,76.29,785.0805966,2,TRUE,Positive,[2],65
2,1,5,19,bas,4.769403992,76.02,76.29,769.2918503,1,TRUE,Positive,[1],65
2,1,5,20,noc,7.8521127745,76.02,76.29,852.0096948,2,FALSE,Negative,[2],65
2,1,5,21,noc,4.8328440511,76.02,76.29,832.8130895,3,TRUE,Positive,[3],65
2,1,5,22,con,6.5340191214,76.02,76.29,783.9130212,1,TRUE,Positive,[1],65
2,1,5,23,bas,4.6681601263,76.02,76.29,668.0506277,1,TRUE,Positive,[1],65
2,1,5,24,bas,4.984398345,76.02,76.29,984.2918671,3,TRUE,Positive,[3],65
2,1,5,25,noc,7.8853984445,76.02,76.29,885.2949871,2,FALSE,Negative,[3],65
2,1,5,26,noc,7.6846978047,76.02,76.29,684.6642001,1,FALSE,Negative,[1],65
2,1,5,27,con,7.7512699,76.02,76.29,1001.2332746,3,TRUE,Positive,[3],65
2,1,5,28,noc,7.7186959705,76.02,76.29,718.5993097,2,FALSE,Negative,[2],65
2,1,5,29,bas,4.8517227331,76.02,76.29,851.6204087,2,TRUE,Positive,[2],65
2,1,5,30,noc,4.6507222939,76.02,76.29,650.6879339,1,TRUE,Positive,[1],65
2,2,5,1,bas,5.0013502303,80.14,76.41,NA,2,FALSE,Negative,[],0
2,2,5,2,con,6.1470656088,80.14,76.41,647.0437092,1,TRUE,Positive,[1],0
2,2,5,3,con,5.2470642119,80.14,76.41,747.0423123,3,TRUE,Positive,[3],0
2,2,5,4,con,8.7697268238,80.14,76.41,769.6109063,2,FALSE,Negative,[3],0
2,2,5,5,noc,4.683276589,80.14,76.41,683.2392085,2,TRUE,Positive,[2],0
2,2,5,6,noc,7.8344597211,80.14,76.41,834.3755205,1,FALSE,Negative,[1],0
2,2,5,7,con,5.7354556669,80.14,76.41,735.33031,3,TRUE,Positive,[3],0
2,2,5,8,con,5.850976255,80.14,76.41,850.9007387,2,TRUE,Positive,[2],0
2,2,5,9,bas,5.0001064779,80.14,76.41,NA,3,FALSE,Negative,[],0
2,2,5,10,con,5.8669856978,80.14,76.41,866.9045179,2,TRUE,Positive,[2],0
2,2,5,11,noc,8.0174574663,80.14,76.41,1017.398186,3,FALSE,Negative,[3],0
2,2,5,12,noc,7.6013509098,80.14,76.41,601.2353702,1,FALSE,Negative,[1],0
2,2,5,13,bas,5.0006996579,80.14,76.41,NA,3,FALSE,Negative,[],0
2,2,5,14,noc,4.7844883604,80.14,76.41,784.4188854,1,TRUE,Positive,[1],0
2,2,5,15,noc,8.0008080238,80.14,76.41,NA,2,FALSE,Negative,[],0
2,2,5,16,bas,4.7669432953,80.14,76.41,766.8949647,2,TRUE,Positive,[2],0
2,2,5,17,bas,4.7836153929,80.14,76.41,783.5598884,1,TRUE,Positive,[1],0
2,2,5,18,noc,5.0002782773,80.14,76.41,NA,3,TRUE,Positive,[],0
2,2,5,19,con,6.2141383768,80.14,76.41,714.1157219,1,TRUE,Positive,[1],0
2,2,5,20,noc,7.7516418174,80.14,76.41,751.5440239,2,FALSE,Negative,[2],0
2,2,5,21,con,9.5006148908,80.14,76.41,NA,3,FALSE,Negative,[],0
2,2,5,22,bas,4.6011870396,80.14,76.41,601.1039717,1,TRUE,Positive,[1],0
2,2,5,23,noc,5.0171406758,80.14,76.41,NA,3,TRUE,Positive,[],0
2,2,5,24,con,5.8676426888,80.14,76.41,867.6041756,2,TRUE,Positive,[2],0
2,2,5,25,con,5.6342174648,80.14,76.41,634.1487451,1,TRUE,Positive,[1],0
2,2,5,26,noc,5.0003307611,80.14,76.41,NA,3,TRUE,Positive,[],0
2,2,5,27,con,9.2509763306,80.14,76.41,NA,3,FALSE,Negative,[],0
2,2,5,28,con,6.0517913017,80.14,76.41,801.6806706,1,TRUE,Positive,[1],0
2,2,5,29,noc,7.7016032476,80.14,76.41,701.4831768,1,FALSE,Negative,[1],0
2,2,5,30,noc,5.0139032947,80.14,76.41,NA,2,TRUE,Positive,[],0
2,3,5,1,noc,7.930538276,75.05,75.34,930.5182642,3,FALSE,Negative,[3],0
2,3,5,2,con,6.3306825876,75.05,75.34,830.6610654,3,TRUE,Positive,[3],0
2,3,5,3,con,5.1469172193,75.05,75.34,646.8945644,1,TRUE,Positive,[1],0
2,3,5,4,noc,7.8003146762,75.05,75.34,800.2765405,2,FALSE,Negative,[2],0
2,3,5,5,bas,5.0170345756,75.05,75.34,NA,3,FALSE,Negative,[],0
2,3,5,6,bas,4.7178264011,75.05,75.34,717.7369143,1,TRUE,Positive,[1],0
2,3,5,7,con,5.6670590995,75.05,75.34,667.0277603,1,TRUE,Positive,[1],0
2,3,5,8,con,6.1668580372,75.05,75.34,666.8244326,3,TRUE,Positive,[3],0
2,3,5,9,con,6.1677000434,75.05,75.34,667.6181082,2,TRUE,Positive,[2],0
2,3,5,10,noc,7.767460204,75.05,75.34,767.3824222,2,FALSE,Negative,[2],0
2,3,5,11,noc,4.7180389792,75.05,75.34,717.9627079,1,TRUE,Positive,[1],0
2,3,5,12,con,6.0999132695,75.05,75.34,599.8815529,1,TRUE,Positive,[1],0
2,3,5,13,bas,4.5338956523,75.05,75.34,533.8186258,3,FALSE,Negative,[1],0
2,3,5,14,noc,4.7519087673,75.05,75.34,751.800779,2,TRUE,Positive,[2],0
2,3,5,15,noc,4.7350588292,75.05,75.34,734.9731182,3,TRUE,Positive,[3],0
2,3,5,16,bas,4.7013834952,75.05,75.34,701.2894775,2,TRUE,Positive,[2],0
2,3,5,17,con,6.3852861139,75.05,75.34,885.1834119,3,TRUE,Positive,[3],0
2,3,5,18,bas,4.6847933328,75.05,75.34,684.6959169,2,TRUE,Positive,[2],0
2,3,5,19,noc,4.7340019792,75.05,75.34,733.9362802,1,TRUE,Positive,[1],0
2,3,5,20,noc,7.6674351702,75.05,75.34,667.3626746,1,FALSE,Negative,[1],0
2,3,5,21,noc,7.8687104885,75.05,75.34,868.601745,3,FALSE,Negative,[3],0
2,3,5,22,con,6.3672147007,75.05,75.34,867.1070898,1,TRUE,Positive,[1],0
